value,ij,t
0.0,n28 => n10,0
0.0,n28 => n10,1
0.0,n28 => n10,2
0.0,n28 => n10,3
0.0,n28 => n10,4
0.0,n28 => n10,5
0.0,n28 => n10,6
0.0,n28 => n10,7
0.0,n28 => n10,8
0.0,n28 => n10,9
0.0,n28 => n10,10
0.0,n28 => n10,11
0.0,n28 => n10,12
0.0,n28 => n10,13
0.0,n28 => n10,14
0.0,n28 => n10,15
0.0,n28 => n10,16
0.0,n28 => n10,17
0.0,n28 => n10,18
0.0,n28 => n10,19
0.0,n28 => n10,20
0.0,n28 => n10,21
0.0,n28 => n10,22
0.0,n28 => n10,23
0.0,n28 => n10,24
0.0,n28 => n10,25
0.0,n28 => n10,26
0.0,n28 => n10,27
0.0,n28 => n10,28
0.0,n28 => n10,29
0.0,n28 => n10,30
0.0,n28 => n10,31
0.0,n28 => n10,32
0.0,n28 => n10,33
0.0,n28 => n10,34
0.0,n28 => n10,35
0.0,n28 => n10,36
0.0,n28 => n10,37
0.0,n28 => n10,38
0.0,n28 => n10,39
0.0,n28 => n10,40
0.0,n28 => n10,41
0.0,n28 => n10,42
0.0,n28 => n10,43
0.0,n28 => n10,44
0.0,n28 => n10,45
0.0,n28 => n10,46
0.0,n28 => n10,47
0.0,n28 => n10,48
0.0,n28 => n10,49
0.0,n28 => n10,50
0.0,n28 => n10,51
0.0,n28 => n10,52
0.0,n28 => n10,53
0.0,n28 => n10,54
0.0,n28 => n10,55
0.0,n28 => n10,56
0.0,n28 => n10,57
0.0,n28 => n10,58
0.0,n28 => n10,59
0.0,n28 => n10,60
0.0,n28 => n10,61
0.0,n28 => n10,62
0.0,n28 => n10,63
0.0,n28 => n10,64
0.0,n28 => n10,65
0.0,n28 => n10,66
0.0,n28 => n10,67
0.0,n28 => n10,68
0.0,n28 => n10,69
0.0,n28 => n10,70
0.0,n28 => n10,71
0.0,n28 => n10,72
0.0,n28 => n10,73
0.0,n28 => n10,74
0.0,n28 => n10,75
0.0,n28 => n10,76
0.0,n28 => n10,77
0.0,n28 => n10,78
0.0,n28 => n10,79
0.0,n28 => n10,80
0.0,n28 => n10,81
0.0,n28 => n10,82
0.0,n28 => n10,83
0.0,n28 => n10,84
0.0,n28 => n10,85
0.0,n28 => n10,86
0.0,n28 => n10,87
0.0,n28 => n10,88
0.0,n28 => n10,89
0.0,n28 => n10,90
0.0,n28 => n10,91
0.0,n28 => n10,92
0.0,n28 => n10,93
0.0,n28 => n10,94
0.0,n28 => n10,95
0.0,n28 => n10,96
0.0,n24 => n23,0
0.0,n24 => n23,1
0.0,n24 => n23,2
0.0,n24 => n23,3
0.0,n24 => n23,4
0.0,n24 => n23,5
0.0,n24 => n23,6
0.0,n24 => n23,7
0.0,n24 => n23,8
0.0,n24 => n23,9
0.0,n24 => n23,10
0.0,n24 => n23,11
0.0,n24 => n23,12
0.0,n24 => n23,13
0.0,n24 => n23,14
0.0,n24 => n23,15
0.0,n24 => n23,16
0.0,n24 => n23,17
0.0,n24 => n23,18
0.0,n24 => n23,19
0.0,n24 => n23,20
0.0,n24 => n23,21
0.0,n24 => n23,22
0.0,n24 => n23,23
0.0,n24 => n23,24
0.0,n24 => n23,25
0.0,n24 => n23,26
0.0,n24 => n23,27
0.0,n24 => n23,28
0.0,n24 => n23,29
0.0,n24 => n23,30
0.0,n24 => n23,31
0.0,n24 => n23,32
0.0,n24 => n23,33
0.0,n24 => n23,34
0.0,n24 => n23,35
0.0,n24 => n23,36
0.0,n24 => n23,37
0.0,n24 => n23,38
0.0,n24 => n23,39
0.0,n24 => n23,40
0.0,n24 => n23,41
0.0,n24 => n23,42
0.0,n24 => n23,43
0.0,n24 => n23,44
0.0,n24 => n23,45
0.0,n24 => n23,46
0.0,n24 => n23,47
0.0,n24 => n23,48
0.0,n24 => n23,49
0.0,n24 => n23,50
0.0,n24 => n23,51
0.0,n24 => n23,52
0.0,n24 => n23,53
0.0,n24 => n23,54
0.0,n24 => n23,55
0.0,n24 => n23,56
0.0,n24 => n23,57
0.0,n24 => n23,58
0.0,n24 => n23,59
0.0,n24 => n23,60
0.0,n24 => n23,61
0.0,n24 => n23,62
0.0,n24 => n23,63
0.0,n24 => n23,64
0.0,n24 => n23,65
0.0,n24 => n23,66
0.0,n24 => n23,67
0.0,n24 => n23,68
0.0,n24 => n23,69
0.0,n24 => n23,70
0.0,n24 => n23,71
0.0,n24 => n23,72
0.0,n24 => n23,73
0.0,n24 => n23,74
0.0,n24 => n23,75
0.0,n24 => n23,76
0.0,n24 => n23,77
0.0,n24 => n23,78
0.0,n24 => n23,79
0.0,n24 => n23,80
0.0,n24 => n23,81
0.0,n24 => n23,82
0.0,n24 => n23,83
0.0,n24 => n23,84
0.0,n24 => n23,85
0.0,n24 => n23,86
0.0,n24 => n23,87
0.0,n24 => n23,88
0.0,n24 => n23,89
0.0,n24 => n23,90
0.0,n24 => n23,91
0.0,n24 => n23,92
0.0,n24 => n23,93
0.0,n24 => n23,94
0.0,n24 => n23,95
0.0,n24 => n23,96
0.0,n28 => n6,0
0.0,n28 => n6,1
0.0,n28 => n6,2
0.0,n28 => n6,3
0.0,n28 => n6,4
0.0,n28 => n6,5
0.0,n28 => n6,6
0.0,n28 => n6,7
0.0,n28 => n6,8
0.0,n28 => n6,9
0.0,n28 => n6,10
0.0,n28 => n6,11
0.0,n28 => n6,12
0.0,n28 => n6,13
0.0,n28 => n6,14
0.0,n28 => n6,15
0.0,n28 => n6,16
0.0,n28 => n6,17
0.0,n28 => n6,18
0.0,n28 => n6,19
0.0,n28 => n6,20
0.0,n28 => n6,21
0.0,n28 => n6,22
0.0,n28 => n6,23
0.0,n28 => n6,24
0.0,n28 => n6,25
0.0,n28 => n6,26
0.0,n28 => n6,27
0.0,n28 => n6,28
0.0,n28 => n6,29
0.0,n28 => n6,30
0.0,n28 => n6,31
0.0,n28 => n6,32
0.0,n28 => n6,33
